engine,qd,bs,ios,iops,MBps,avg_us,p50_us,p99_us,p999_us
sync,1,4096,30000,1759.0,6.9,568.44,492.2,2565.13,7213.89
threads,1,4096,30000,6780.0,26.5,147.32,137.34,290.85,1413.69
threads,4,4096,30000,27782.0,108.5,142.11,133.39,277.69,586.12
threads,16,4096,30000,99489.0,388.6,151.44,142.76,292.13,519.24
threads,32,4096,30000,165916.0,648.1,177.67,167.69,349.68,553.1
threads,64,4096,30000,205054.0,801.0,277.34,271.96,453.32,944.6
threads,128,4096,30000,196243.0,766.6,490.24,519.11,838.94,1415.82
posixaio,1,4096,30000,5763.0,22.5,173.39,158.51,396.65,1950.32
posixaio,4,4096,30000,6026.0,23.5,663.59,611.58,1571.79,3544.57
posixaio,16,4096,30000,6371.0,24.9,2510.44,2433.51,3926.46,10082.16
posixaio,32,4096,30000,6370.0,24.9,5020.9,4920.3,7807.12,9946.69
posixaio,64,4096,30000,6317.0,24.7,10119.86,9939.22,14452.59,29071.24
posixaio,128,4096,30000,6113.0,23.9,20895.7,20695.22,29533.71,46730.18
iouring,1,4096,30000,6765.0,26.4,147.67,136.52,317.63,1232.58
iouring,4,4096,30000,28016.0,109.4,126.14,128.91,234.28,535.06
iouring,16,4096,30000,94764.0,370.2,131.83,140.77,255.44,548.5
iouring,32,4096,30000,158889.0,620.7,146.97,157.03,382.2,666.48
iouring,64,4096,30000,227204.0,887.5,216.21,232.65,457.28,715.12
iouring,128,4096,30000,256994.0,1003.9,384.71,455.67,655.24,954.31
